"RANK","NAME","COUNTRY","REGION"
"63","University of California--Santa Cruz","United States","North America"
"64","University of Arizona","United States","North America"
"65","University of Copenhagen","Denmark","Europe"
"66","University of California--Irvine","United States","North America"
"67","Tsinghua University","China","Asia"
"68","Utrecht University","Netherlands","Europe"
"69","Purdue University","United States","North America"
"69","Université Paris-Sud ","France","Europe"
"71","Rockefeller University","United States","North America"
"72","Australian National University","Australia","Australia/New Zealand"
"72","Seoul National University","South Korea","Asia"
"74","Carnegie Mellon University","United States","North America"
"75","Leiden University","Netherlands","Europe"
"75","Michigan State University","United States","North America"
"77","École Polytechnique Fédérale de Lausanne","Switzerland","Europe"
"77","Humboldt University of Berlin","Germany","Europe"
"77","Universidade de São Paulo","Brazil","Latin America"
"80","University of Amsterdam","Netherlands","Europe"
"81","Free University of Berlin","Germany","Europe"
"82","University of Bristol","United Kingdom","Europe"
"83","University of Zurich","Switzerland","Europe"
"84","Emory University","United States","North America"
"84","Erasmus University Rotterdam","Netherlands","Europe"
"86","Texas A&M; University--College Station","United States","North America"
"87","Ghent University","Belgium","Europe"
"88","Monash University","Australia","Australia/New Zealand"
"89","Rice University","United States","North America"
"89","Vanderbilt University","United States","North America"
"91","London School of Hygiene & Tropical Medicine","United Kingdom","Europe"
"91","Tufts University","United States","North America"
"93","University of Göttingen","Germany","Europe"
"94","Technical University of Munich","Germany","Europe"
"94","University of New South Wales","Australia","Australia/New Zealand"
"96","University of Barcelona","Spain","Europe"
"96","University of Montreal","Canada","North America"
"98","Lund University","Sweden","Europe"
"98","University of Groningen","Netherlands","Europe"
"100","University of Helsinki","Finland","Europe"
"101","Mayo Clinic","United States","North America"
"102","University of Geneva","Switzerland","Europe"
"102","University of Virginia","United States","North America"
"102","Weizmann Institute of Science","Israel","Asia"
"105","National Taiwan University","Taiwan","Asia"
"106","Brown University","United States","North America"
"107","Uppsala University","Sweden","Europe"
"108","Fudan University","China","Asia"
"108","University of Alberta","Canada","North America"
"110","VU University Amsterdam","Netherlands","Europe"
"111","Osaka University","Japan","Asia"
"112","University of Glasgow","United Kingdom","Europe"
"113","University of Western Australia","Australia","Australia/New Zealand"
"114","Indiana University--Bloomington","United States","North America"
"115","University of Massachusetts--Amherst","United States","North America"
"116","Joseph Fourier University - Grenoble 1 ","France","Europe"
"116","Université Paris Diderot - Paris 7","France","Europe"
"118","Aarhus University","Denmark","Europe"
"118","Chinese University of Hong Kong","Hong Kong","Asia"
"120","University of Rochester","United States","North America"
"121","University of Birmingham","United Kingdom","Europe"
"121","University of Iowa","United States","North America"
"123","Radboud University Nijmegen","Netherlands","Europe"
"123","University of Basel","Switzerland","Europe"
"125","Nanyang Technological University","Singapore","Asia"
"125","University of Bern","Switzerland","Europe"
"127","University of California--Riverside","United States","North America"
"128","Zhejiang University","China","Asia"
"129","Hong Kong University of Science and Technology","Hong Kong","Asia"
"129","Tohoku University","Japan","Asia"
"131","Stony Brook University--SUNY","United States","North America"
"131","University of Leeds","United Kingdom","Europe"
"133","University of Southampton","United Kingdom","Europe"
"134","Wageningen University and Research Center","Netherlands","Europe"
"135","University of Hamburg","Germany","Europe"
"135","University of Oslo","Norway","Europe"
"137","Case Western Reserve University","United States","North America"
"138","University of Sheffield","United Kingdom","Europe"
"139","Sapienza University of Rome","Italy","Europe"
"139","University of Bonn","Germany","Europe"
"141","McMaster University","Canada","North America"
"141","Stockholm University","Sweden","Europe"
"143","Arizona State University","United States","North America"
"143","University of Science and Technology of China","China","Asia"
"143","University of Utah","United States","North America"
"146","University of Bologna","Italy","Europe"
"146","University of Padua","Italy","Europe"
"148","Shanghai Jiao Tong University","China","Asia"
"148","Tel Aviv University","Israel","Asia"
"150","University of Liverpool","United Kingdom","Europe"
"151","University of Cape Town","South Africa","Africa"
"152","Hebrew University of Jerusalem","Israel","Asia"
"152","University of Nottingham","United Kingdom","Europe"
"154","Karlsruhe Institute of Technology","Germany","Europe"
"155","Iowa State University","United States","North America"
"155","University of Milan","Italy","Europe"
"157","Korea University","South Korea","Asia"
"158","University of Maryland--Baltimore","United States","North America"
"159","Queen Mary University of London","United Kingdom","Europe"
"160","Autonomous University of Barcelona","Spain","Europe"
"160","Baylor College of Medicine","United States","North America"
"160","Icahn School of Medicine at Mount Sinai","United States","North America"
"160","University of Freiburg","Germany","Europe"
"164","Middle East Technical University","Turkey","Asia"
"164","Tokyo Institute of Technology","Japan","Asia"
"166","University of Texas Southwestern Medical Center--Dallas","United States","North America"
"167","Nagoya University","Japan","Asia"
"168","University of Illinois Chicago","United States","North America"
"169","University of Miami","United States","North America"
"170","Université de Strasbourg","France","Europe"
"171","University of Tennessee--Knoxville","United States","North America"
"172","Florida State University","United States","North America"
"173","Pohang University of Science and Technology","South Korea","Asia"
"173","RWTH Aachen University","Germany","Europe"
"173","University of Auckland","New Zealand","Australia/New Zealand"
"176","Maastricht University","Netherlands","Europe"
"177","Charite - Medical University of Berlin","Germany","Europe"
"177","Eberhard Karls University Tübingen","Germany","Europe"
"179","Charles University in Prague","Czech Republic","Europe"
"179","Goethe University Frankfurt","Germany","Europe"
"179","Korea Advanced Institute of Science and Technology","South Korea","Asia"
"182","University of Alabama--Birmingham","United States","North America"
"182","University of Warwick","United Kingdom","Europe"
"184","University of Notre Dame","United States","North America"
"185","Aix-Marseille Université","France","Europe"
"185","Nanjing University","China","Asia"
"185","Technical University of Denmark","Denmark","Europe"
"188","Cardiff University","United Kingdom","Europe"
"188","Delft University of Technology","Netherlands","Europe"
"188","Durham University","United Kingdom","Europe"
"191","University of Adelaide","Australia","Australia/New Zealand"
"191","University of Münster","Germany","Europe"
"193","École Polytechnique","France","Europe"
"194","Newcastle University","United Kingdom","Europe"
"194","University of Ottawa","Canada","North America"
"196","Lomonosov Moscow State University","Russian Federation","Europe"
"197","Johannes Gutenberg University of Mainz","Germany","Europe"
"197","Royal Institute of Technology","Sweden","Europe"
"197","University of Vienna","Austria","Europe"
"200","University of Cincinnati","United States","North America"
"201","École Normale Supérieure, Paris","France","Europe"
"201","University of Texas Health Science Center--Houston","United States","North America"
